ID,Groups,Description,Baseline [04-22 20:07],[04-23 11:34],[04-23 11:58],[04-23 16:23]
,real-world scenarios,get git status,OK/OK,OK/OK,OK/OK,OK/OK
,move,overwrites when overwrite is true,OK/OK,OK/OK,OK/OK,OK/OK
,delete,deletes existing file,OK/OK,OK/OK,OK/OK,OK/OK
,read,throws when file does not exist,OK/OK,OK/OK,OK/OK,OK/OK
,delete,deletes file with content,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,find and process files,OK/OK,OK/OK,OK/OK,OK/OK
,touch,creates new file when create is true,OK/OK,OK/OK,OK/OK,OK/OK
,touch,throws when file does not exist and create is false,OK/OK,OK/OK,OK/OK,OK/OK
,verbose mode,runs with verbose output,OK/OK,OK/OK,OK/OK,OK/OK
,Progress class,custom callback receives lines,OK/OK,OK/OK,OK/OK,OK/OK
,Progress class,print outputs to console,OK/OK,OK/OK,OK/OK,OK/OK
,Progress class,capture stores lines in .lines,OK/OK,OK/OK,OK/OK,OK/OK
,Progress class,devNull discards output,OK/OK,OK/OK,OK/OK,OK/OK
,error handling,captures command failure,OK/OK,OK/OK,OK/OK,OK/OK
,error handling,captures non-existent command error,OK/OK,OK/OK,OK/OK,OK/OK
,environment variables,interpolate env in Dart string,OK/OK,OK/OK,OK/OK,OK/OK
,environment variables,use env directly instead of shell expansion,OK/OK,OK/OK,OK/OK,OK/OK
,command piping (Dart-native),use grep directly without pipe,OK/OK,OK/OK,OK/OK,OK/OK
,command piping (Dart-native),filter output in Dart instead of piping,OK/OK,OK/OK,OK/OK,OK/OK
,env,gets USER variable,OK/OK,OK/OK,OK/OK,OK/OK
,startFromArgs,handles multiple arguments,OK/OK,OK/OK,OK/OK,OK/OK
,startFromArgs,handles empty arguments,OK/OK,OK/OK,OK/OK,OK/OK
,touch,updates timestamp of existing file,OK/OK,OK/OK,OK/OK,OK/OK
,startFromArgs,handles arguments with spaces,OK/OK,OK/OK,OK/OK,OK/OK
,createDir,returns the path,OK/OK,OK/OK,OK/OK,OK/OK
,cat,prints file content,OK/OK,OK/OK,OK/OK,OK/OK
,cat,handles empty file,OK/OK,OK/OK,OK/OK,OK/OK
,start,respects workingDirectory,OK/OK,OK/OK,OK/OK,OK/OK
,read,returns iterable of lines,OK/OK,OK/OK,OK/OK,OK/OK
,read,handles single line file,OK/OK,OK/OK,OK/OK,OK/OK
,read,handles file with trailing newline,OK/OK,OK/OK,OK/OK,OK/OK
,start,does not throw with nothrow option,OK/OK,OK/OK,OK/OK,OK/OK
,start,throws on non-zero exit code by default,OK/OK,OK/OK,OK/OK,OK/OK
,head,returns first n lines,OK/OK,OK/OK,OK/OK,OK/OK
,start,returns exit code via progress,OK/OK,OK/OK,OK/OK,OK/OK
,tail,returns all lines if file has fewer lines,OK/OK,OK/OK,OK/OK,OK/OK
,tail,handles single line request,OK/OK,OK/OK,OK/OK,OK/OK
,start,captures stderr via callback,OK/OK,OK/OK,OK/OK,OK/OK
,tail,returns last n lines,OK/OK,OK/OK,OK/OK,OK/OK
,start,executes command with progress tracking,OK/OK,OK/OK,OK/OK,OK/OK
,forEach,processes lines in order,OK/OK,OK/OK,OK/OK,OK/OK
,forEach,handles empty output,OK/OK,OK/OK,OK/OK,OK/OK
,forEach,iterates over each line,OK/OK,OK/OK,OK/OK,OK/OK
,toParagraph,returns empty string for no output,OK/OK,OK/OK,OK/OK,OK/OK
,envs,envs and env return same values,OK/OK,OK/OK,OK/OK,OK/OK
,replace,replaces first occurrence by default,OK/OK,OK/OK,OK/OK,OK/OK
,replace,replaces all occurrences when all is true,OK/OK,OK/OK,OK/OK,OK/OK
,CliExceptions,ReplayException,OK/OK,OK/OK,OK/OK,OK/OK
,replace,returns count of replacements,OK/OK,OK/OK,OK/OK,OK/OK
,replace,returns 0 when no match found,OK/OK,OK/OK,OK/OK,OK/OK
,replace,handles regex pattern,OK/OK,OK/OK,OK/OK,OK/OK
,CliExceptions,DirectoryNotFoundException,OK/OK,OK/OK,OK/OK,OK/OK
,CliExceptions,CliFileNotFoundException,OK/OK,OK/OK,OK/OK,OK/OK
,CliExceptions,CliException,OK/OK,OK/OK,OK/OK,OK/OK
,copyTree,copies directory tree,OK/OK,OK/OK,OK/OK,OK/OK
,truepath,expands relative path,OK/OK,OK/OK,OK/OK,OK/OK
,copyTree,copies nested directories,OK/OK,OK/OK,OK/OK,OK/OK
,truepath,treats ~ as literal character (no shell expansion),OK/OK,OK/OK,OK/OK,OK/OK
,truepath,treats ~/subfolder as literal (no shell expansion),OK/OK,OK/OK,OK/OK,OK/OK
,copyTree,preserves file content,OK/OK,OK/OK,OK/OK,OK/OK
,ExecuteResult,failure result,OK/OK,OK/OK,OK/OK,OK/OK
,truepath,normalizes path separators,OK/OK,OK/OK,OK/OK,OK/OK
,moveTree,moves directory tree,OK/OK,OK/OK,OK/OK,OK/OK
,truepath,handles absolute path,OK/OK,OK/OK,OK/OK,OK/OK
,truepath,removes trailing slashes,OK/OK,OK/OK,OK/OK,OK/OK
,truepath,handles . and .. segments,OK/OK,OK/OK,OK/OK,OK/OK
,truepath,accepts multiple path parts,OK/OK,OK/OK,OK/OK,OK/OK
,join,joins two path segments,OK/OK,OK/OK,OK/OK,OK/OK
,join,joins multiple segments,OK/OK,OK/OK,OK/OK,OK/OK
,join,handles empty segments,OK/OK,OK/OK,OK/OK,OK/OK
,join,handles absolute segments,OK/OK,OK/OK,OK/OK,OK/OK
,join,handles trailing separators,OK/OK,OK/OK,OK/OK,OK/OK
,dirname,returns parent directory,OK/OK,OK/OK,OK/OK,OK/OK
,dirname,returns . for filename only,OK/OK,OK/OK,OK/OK,OK/OK
,dirname,returns / for root directory file,OK/OK,OK/OK,OK/OK,OK/OK
,dirname,strips trailing filename,OK/OK,OK/OK,OK/OK,OK/OK
,toParagraph,joins lines with newlines,OK/OK,OK/OK,OK/OK,OK/OK
,dirname,handles paths with trailing slash,OK/OK,OK/OK,OK/OK,OK/OK
,basename,returns filename from path,OK/OK,OK/OK,OK/OK,OK/OK
,basename,returns filename with extension,OK/OK,OK/OK,OK/OK,OK/OK
,basename,handles path without directory,OK/OK,OK/OK,OK/OK,OK/OK
,basename,returns directory name for path ending in dir,OK/OK,OK/OK,OK/OK,OK/OK
,basename,handles paths with multiple extensions,OK/OK,OK/OK,OK/OK,OK/OK
,extension,returns file extension with dot,OK/OK,OK/OK,OK/OK,OK/OK
,extension,returns last extension for multiple,OK/OK,OK/OK,OK/OK,OK/OK
,extension,returns empty for no extension,OK/OK,OK/OK,OK/OK,OK/OK
,extension,handles hidden files,OK/OK,OK/OK,OK/OK,OK/OK
,extension,handles hidden files with extension,OK/OK,OK/OK,OK/OK,OK/OK
,extension,returns multiple extensions with level param,OK/OK,OK/OK,OK/OK,OK/OK
,relative,creates relative path from absolute,OK/OK,OK/OK,OK/OK,OK/OK
,relative,handles same directory,OK/OK,OK/OK,OK/OK,OK/OK
,relative,handles parent directory,OK/OK,OK/OK,OK/OK,OK/OK
,relative,handles sibling directory,OK/OK,OK/OK,OK/OK,OK/OK
,absolute,returns absolute path for relative,OK/OK,OK/OK,OK/OK,OK/OK
,absolute,returns same path for absolute,OK/OK,OK/OK,OK/OK,OK/OK
,normalize,removes double slashes,OK/OK,OK/OK,OK/OK,OK/OK
,normalize,resolves . segments,OK/OK,OK/OK,OK/OK,OK/OK
,normalize,resolves .. segments,OK/OK,OK/OK,OK/OK,OK/OK
,normalize,handles trailing separator,OK/OK,OK/OK,OK/OK,OK/OK
,isAbsolute,returns true for absolute path,OK/OK,OK/OK,OK/OK,OK/OK
,isAbsolute,returns false for relative path,OK/OK,OK/OK,OK/OK,OK/OK
,isAbsolute,returns false for empty string,OK/OK,OK/OK,OK/OK,OK/OK
,isAbsolute,handles ~ as relative,OK/OK,OK/OK,OK/OK,OK/OK
,isRelative,returns false for absolute path,OK/OK,OK/OK,OK/OK,OK/OK
,isRelative,returns true for relative path,OK/OK,OK/OK,OK/OK,OK/OK
,split,splits path into components,OK/OK,OK/OK,OK/OK,OK/OK
,split,splits relative path,OK/OK,OK/OK,OK/OK,OK/OK
,split,handles single component,OK/OK,OK/OK,OK/OK,OK/OK
,withoutExtension,removes extension from path,OK/OK,OK/OK,OK/OK,OK/OK
,withoutExtension,removes only last extension,OK/OK,OK/OK,OK/OK,OK/OK
,withoutExtension,handles no extension,OK/OK,OK/OK,OK/OK,OK/OK
,withoutExtension,preserves directory path,OK/OK,OK/OK,OK/OK,OK/OK
,setExtension,adds extension to path,OK/OK,OK/OK,OK/OK,OK/OK
,setExtension,replaces existing extension,OK/OK,OK/OK,OK/OK,OK/OK
,setExtension,handles empty new extension,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,build output path from source,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,resolve config file relative to project,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,create backup filename,OK/OK,OK/OK,OK/OK,OK/OK
,createDir,creates single directory,OK/OK,OK/OK,OK/OK,OK/OK
,createDir,creates nested directories with recursive,OK/OK,OK/OK,OK/OK,OK/OK
,createDir,throws without recursive when parent missing,OK/OK,OK/OK,OK/OK,OK/OK
,createDir,does not throw if directory already exists with recursive,OK/OK,OK/OK,OK/OK,OK/OK
,createDir,creates directory with spaces in name,OK/OK,OK/OK,OK/OK,OK/OK
,createDir,creates directory with special characters,OK/OK,OK/OK,OK/OK,OK/OK
,createDir,creates deeply nested structure,OK/OK,OK/OK,OK/OK,OK/OK
,deleteDir,deletes empty directory,OK/OK,OK/OK,OK/OK,OK/OK
,deleteDir,throws on non-empty directory without recursive,OK/OK,OK/OK,OK/OK,OK/OK
,deleteDir,deletes non-empty directory with recursive,OK/OK,OK/OK,OK/OK,OK/OK
,deleteDir,deletes nested structure recursively,OK/OK,OK/OK,OK/OK,OK/OK
,deleteDir,throws when directory does not exist,OK/OK,OK/OK,OK/OK,OK/OK
,find,finds files by pattern,OK/OK,OK/OK,OK/OK,OK/OK
,find,finds files recursively,OK/OK,OK/OK,OK/OK,OK/OK
,find,returns empty when no matches,OK/OK,OK/OK,OK/OK,OK/OK
,find,finds by exact name,OK/OK,OK/OK,OK/OK,OK/OK
,find,handles multiple file types,OK/OK,OK/OK,OK/OK,OK/OK
,find,includes hidden files when specified,OK/OK,OK/OK,OK/OK,OK/OK
,find,case-insensitive matching when specified [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,find,finds directories when type specified,OK/OK,OK/OK,OK/OK,OK/OK
,exists,returns true for existing file,OK/OK,OK/OK,OK/OK,OK/OK
,exists,returns true for existing directory,OK/OK,OK/OK,OK/OK,OK/OK
,isFile,returns false for non-existent path,OK/OK,OK/OK,OK/OK,OK/OK
,isLink,returns true for symlink,OK/OK,OK/OK,OK/OK,OK/OK
,isDirectory,returns true for directory,OK/OK,OK/OK,OK/OK,OK/OK
,isDirectory,returns false for file,OK/OK,OK/OK,OK/OK,OK/OK
,isFile,returns true for file,OK/OK,OK/OK,OK/OK,OK/OK
,isLink,returns false for directory,OK/OK,OK/OK,OK/OK,OK/OK
,isLink,returns false for regular file,OK/OK,OK/OK,OK/OK,OK/OK
,isEmpty,returns true for empty directory,OK/OK,OK/OK,OK/OK,OK/OK
,isEmpty,returns false for non-empty directory,OK/OK,OK/OK,OK/OK,OK/OK
,isEmpty,returns false for directory with subdirectory,OK/OK,OK/OK,OK/OK,OK/OK
,moveDir,moves directory to new location,OK/OK,OK/OK,OK/OK,OK/OK
,temp operations,createTempDir creates in system temp,OK/OK,OK/OK,OK/OK,OK/OK
,temp operations,createTempFile creates file,OK/OK,OK/OK,OK/OK,OK/OK
,temp operations,createTempFilename returns unique name,OK/OK,OK/OK,OK/OK,OK/OK
,ExecuteResult,success result,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtCliController,execute runs code in fresh environment,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,check before writing [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,D4rtCliController,processPrompt handles empty lines,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtCliController,processPrompt handles comments,OK/OK,OK/OK,OK/OK,OK/OK
,lastLine,handles single line,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtCliController,multiline mode,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtCliController,eval executes expressions,OK/OK,OK/OK,OK/OK,OK/OK
,CliState,cd with absolute path,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,verify directory traversable,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,create config file with restricted permissions [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,lastLine,returns last line of output,OK/OK,OK/OK,OK/OK,OK/OK
,CliState,home returns to data directory,OK/OK,OK/OK,OK/OK,OK/OK
,real-world scenarios,create executable script,OK/OK,OK/OK,OK/OK,OK/OK
,firstLine,handles single line output,OK/OK,OK/OK,OK/OK,OK/OK
,special permissions,symlink permissions follow target [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,lastLine,returns null for no output,OK/OK,OK/OK,OK/OK,OK/OK
,special permissions,hidden files are accessible [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,firstLine,returns first line of output,OK/OK,OK/OK,OK/OK,OK/OK
,permission modes,mode 700 - rwx------ [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,env,gets PATH variable,OK/OK,OK/OK,OK/OK,OK/OK
,toList,handles multiline output,OK/OK,OK/OK,OK/OK,OK/OK
,permission modes,mode 600 - rw------- [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,D4rtCliController,defines work correctly,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtCliController,ls lists directory contents,OK/OK,OK/OK,OK/OK,OK/OK
,permission modes,mode 755 - rwxr-xr-x [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,toList,returns empty list for no output,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtCliController,directory navigation,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtCliController,basic properties,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtCliController,help returns help text,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtCliController,info without name returns tool info,OK/OK,OK/OK,OK/OK,OK/OK
,isReadable,returns true for readable file,OK/OK,OK/OK,OK/OK,OK/OK
,isReadable,returns true for readable directory,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.required validator,accepts non-empty string,OK/OK,OK/OK,OK/OK,OK/OK
,isExecutable,throws for non-existent file,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.integer validator,rejects empty string,OK/OK,OK/OK,OK/OK,OK/OK
,isReadable,handles symlink,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.required validator,rejects whitespace only,OK/OK,OK/OK,OK/OK,OK/OK
,ContextStack,cannot pop root context,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.required validator,trims whitespace from valid input,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.lengthMin validator,accepts string at minimum length,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.lengthMin validator,accepts string above minimum,OK/OK,OK/OK,OK/OK,OK/OK
,ContextStack,push and pop contexts,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.lengthRange validator,rejects string below minimum,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.lengthMin validator,handles empty string,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.lengthMax validator,accepts string at maximum length,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.lengthMax validator,accepts string below maximum,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.lengthRange validator,rejects string above maximum,OK/OK,OK/OK,OK/OK,OK/OK
,ExecutionContext,multiline mode management,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.lengthMax validator,accepts empty string,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.lengthRange validator,accepts string within range,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.lengthRange validator,accepts string at minimum,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.lengthRange validator,accepts string at maximum,OK/OK,OK/OK,OK/OK,OK/OK
,CliState,path resolution - tilde expansion,OK/OK,OK/OK,OK/OK,OK/OK
,isWritable,returns true for writable file [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,Ask.integer validator,accepts valid integer,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.integer validator,accepts negative integer,OK/OK,OK/OK,OK/OK,OK/OK
,CliState,path resolution - absolute paths,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.integer validator,accepts zero,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.integer validator,rejects non-integer,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.integer validator,rejects float,OK/OK,OK/OK,OK/OK,OK/OK
,CliState,path resolution - relative paths,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.decimal validator,accepts valid decimal,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.decimal validator,accepts integer as decimal,OK/OK,OK/OK,OK/OK,OK/OK
,CliState,defines management,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.decimal validator,accepts negative decimal,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.decimal validator,rejects non-number,OK/OK,OK/OK,OK/OK,OK/OK
,permission modes,mode 644 - rw-r--r-- [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,isWritable,returns true for writable directory [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,toList,returns each line separately,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.ipAddress validator,accepts valid IPv4,OK/OK,OK/OK,OK/OK,OK/OK
,CliState,cd changes directory,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.ipAddress validator,accepts localhost,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.ipAddress validator,rejects invalid IP,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.ipAddress validator,rejects non-IP string,OK/OK,OK/OK,OK/OK,OK/OK
,file ownership,files created have current user ownership,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.valueRange validator,accepts value within range,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.valueRange validator,accepts value at minimum,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.valueRange validator,accepts value at maximum,OK/OK,OK/OK,OK/OK,OK/OK
,ContextStack,initial state,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.valueRange validator,rejects value below minimum,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.valueRange validator,rejects value above maximum,OK/OK,OK/OK,OK/OK,OK/OK
,file ownership,can check current user,OK/OK,OK/OK,OK/OK,OK/OK
,stat,gets access time,OK/OK,OK/OK,OK/OK,OK/OK
,stat,gets modification time,OK/OK,OK/OK,OK/OK,OK/OK
,stat,gets directory stats,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.email validator,accepts valid email,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.email validator,accepts email with subdomain,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.email validator,accepts email with plus,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.email validator,rejects invalid email,OK/OK,OK/OK,OK/OK,OK/OK
,isWritable,can write to writable file [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,stat,gets file stats,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.email validator,rejects email without domain,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.fqdn validator,accepts valid domain,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.fqdn validator,accepts subdomain,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.fqdn validator,rejects invalid domain,OK/OK,OK/OK,OK/OK,OK/OK
,toList,captures output as list of lines,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.alphaNumeric validator,accepts alphanumeric string,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.alpha validator,accepts letters only,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.alphaNumeric validator,accepts numbers only,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.alphaNumeric validator,rejects special characters,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.alphaNumeric validator,rejects spaces,OK/OK,OK/OK,OK/OK,OK/OK
,isExecutable,returns true for executable file,OK/OK,OK/OK,OK/OK,OK/OK
,Ask.alpha validator,rejects numbers,OK/OK,OK/OK,OK/OK,OK/OK
,regExp validator,accepts matching pattern,OK/OK,OK/OK,OK/OK,OK/OK
,regExp validator,rejects non-matching pattern,OK/OK,OK/OK,OK/OK,OK/OK
,regExp validator,regex validator with custom error,OK/OK,OK/OK,OK/OK,OK/OK
,AskValidator chaining,can combine validators with all,OK/OK,OK/OK,OK/OK,OK/OK
,AskValidator chaining,can combine validators with any,OK/OK,OK/OK,OK/OK,OK/OK
,Menu class configuration,creates menu with options,OK/OK,OK/OK,OK/OK,OK/OK
,Menu class configuration,menu options are strings,OK/OK,OK/OK,OK/OK,OK/OK
,Confirm class,default value can be true,OK/OK,OK/OK,OK/OK,OK/OK
,Confirm class,default value can be false,OK/OK,OK/OK,OK/OK,OK/OK
,Ask class options,can specify default value,OK/OK,OK/OK,OK/OK,OK/OK
,Ask class options,can specify hidden input,OK/OK,OK/OK,OK/OK,OK/OK
,Ask class options,can specify prompt,OK/OK,OK/OK,OK/OK,OK/OK
,isExecutable,returns false for non-executable file,OK/OK,OK/OK,OK/OK,OK/OK
,isExecutable,directories are typically executable (traversable),OK/OK,OK/OK,OK/OK,OK/OK
,chmod via shell,applies recursive permissions,OK/OK,OK/OK,OK/OK,OK/OK
,chmod via shell,handles directory permissions [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,run (string extension),runs command in specific directory,OK/OK,OK/OK,OK/OK,OK/OK
,chmod via shell,makes file executable,OK/OK,OK/OK,OK/OK,OK/OK
,chmod via shell,makes file writable [fails on Macos],OK/OK,OK/OK,OK/OK,OK/OK
,run (string extension),executes simple echo command,OK/OK,OK/OK,OK/OK,OK/OK
,chmod via shell,makes file read-only,OK/OK,OK/OK,OK/OK,OK/OK
