ID,Groups,Description,Baseline [05-21 11:27],[05-21 11:27],[05-21 12:00],[05-23 05:50],[06-05 11:06]
,D4UnwrapException,registers itself with ErrorReporter and can be revoked,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle constructor,creates bundle with valid entry point,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle constructor,rejects entry point not in modules,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle constructor,exposes entryPoint getter,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle constructor,reports moduleCount and isSingleModule correctly,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle JSON serialization,round-trips single module,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle JSON serialization,round-trips multiple modules,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle JSON serialization,includes version in JSON,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundleManifest,rejects JSON without version,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundleManifest,rejects JSON without entry point,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle JSON serialization,rejects JSON without modules,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle JSON serialization,rejects JSON with invalid module,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle bytes serialization,round-trips via gzip bytes,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle bytes serialization,produces gzip-compressed output,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle bytes serialization,bytes are smaller than raw JSON,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle bytes serialization,rejects invalid bytes,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle ZIP serialization,round-trips via ZIP,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle ZIP serialization,produces valid ZIP with PK magic bytes,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle ZIP serialization,ZIP contains manifest and module files,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle ZIP serialization,manifest correctly maps files to URIs,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle ZIP serialization,module entries are gzip-compressed,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle ZIP serialization,rejects invalid ZIP bytes,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle ZIP serialization,rejects ZIP without manifest,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle file I/O,round-trips via file (ZIP format),OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundleAs<T>,returns the raw int when T == int,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle file I/O,fromFile auto-detects ZIP format,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle file I/O,fromFile auto-detects gzip format,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle file I/O,fromFile auto-detects plain JSON,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle file I/O,fromFile throws on missing file,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle file I/O,fromFile throws on empty file,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle file I/O,fromFile throws on unrecognized format,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundleManifest,round-trips via JSON,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundleManifest,rejects JSON without files,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundleManifest,toString is descriptive,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,Cross-format consistency,JSON → bytes → JSON produces identical bundle,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,Cross-format consistency,JSON → ZIP → JSON produces identical bundle,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,Cross-format consistency,all formats preserve module URIs and AST structure,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstBundle toString,is descriptive,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.registerExtensions / finalizeBridges,callbacks fire in registration order when finalizeBridges is called,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.registerExtensions / finalizeBridges,finalizeBridges is idempotent — second call is a no-op,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstModuleLoader constructor,stores modules map,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.registerExtensions / finalizeBridges,re-registering with the same package name overwrites the body (idempotent on package name),OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstModuleLoader constructor,stores global environment,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.registerExtensions / finalizeBridges,registerExtensions throws StateError after finalizeBridges has run,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstModuleLoader constructor,stores runner reference,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,AstModuleLoader constructor,currentLibrary is initially null,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,checkPermission,delegates to runner,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,checkPermission,reflects runner permission changes,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,module caching,returns cached module on second call,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,module caching,caches stdlib modules,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,stdlib loading,loads dart:core without error,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,stdlib loading,loads dart:async without error,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,stdlib loading,loads dart:math and makes math available,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,stdlib loading,loads dart:convert,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,stdlib loading,loads dart:collection,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,stdlib loading,loads dart:typed_data,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,stdlib loading,loads dart:io,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.registerExtensions / finalizeBridges,callbacks fire implicitly on the first executeBundle call,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,stdlib loading,loads dart:isolate,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.registerExtensions / finalizeBridges,a second executeBundle call does NOT re-run callbacks,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,stdlib loading,throws for unsupported dart library,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.registerExtensions / finalizeBridges,explicit finalizeBridges before execute is supported and still runs callbacks before the script,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,stdlib loading,does not register same stdlib twice,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,stdlib loading,returns empty AST for stdlib modules,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.resetScriptDeclarations,preserves bridged enum registrations across reset,--/OK,--/OK,--/OK,--/OK,OK/OK
,missing module,error message lists available modules,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,bundle module loading,loads module with function declaration,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,bundle module loading,loads module with top-level variable,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,bundle module loading,restores currentLibrary after loading,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,import processing,processes import directive in module,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,import processing,processes import with dart:math stdlib,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,import processing,"handles chained imports (A imports B, B imports C)",OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,export processing,processes export directive,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,export processing,export with show combinator,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,export processing,export with hide combinator,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,URI resolution,resolves relative imports against current module URI,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,URI resolution,absolute package: URIs are not resolved relatively,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,show/hide filtering,import with show combinator,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,show/hide filtering,import with hide combinator,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundle,executes single-module bundle,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundle,executes multi-module bundle with imports,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundle,throws for missing entry point override,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundle,uses custom entry point override,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundle,calls named function from bundle,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundle,supports dart:math import in bundle,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.executeBundle,throws for missing function in entry point,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,GEN-107 library re-exports,merges a single re-exported bridged class into the source module,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,GEN-107 library re-exports,respects re-export show filter,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,GEN-107 library re-exports,respects re-export hide filter,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,GEN-107 library re-exports,handles transitive re-export chain,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,GEN-107 library re-exports,survives a re-export cycle without infinite recursion,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,GEN-107 library re-exports,does not leak target bridges into globalEnvironment,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4.registerInterfaceProxy is idempotent,repeated registration with the same key does not throw and stays visible via hasInterfaceProxy,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4.registerTypeCoercion is idempotent,repeated registration with the same source/target pair does not throw,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4.registerGenericConstructor is idempotent,the same factory registered twice is stored as the bare factory (no chained closure layered on itself),OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4.registerGenericConstructor is idempotent,two distinct factories chain (first registered → fallback) and a re-registration of either does not extend the chain,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4.registerGenericTypeWrapper is idempotent,repeated registration of the same factory does not throw,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4.registerSupplementaryMethod is idempotent,"repeated registration with same (class, method) overwrites without throwing",OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,BridgedClass.registerSupertypes is idempotent,repeated registration of the same hierarchy does not duplicate entries (Set semantics),OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,D4rtRunner.resetScriptDeclarations,is a safe no-op before any execute,--/OK,--/OK,--/OK,--/OK,OK/OK
,D4rtRunner.resetScriptDeclarations,evicts script-declared entries after execute while leaving a working interpreter behind,--/OK,--/OK,--/OK,--/OK,OK/OK
,D4rtRunner.resetScriptDeclarations,is idempotent — repeated calls preserve the baseline,--/OK,--/OK,--/OK,--/OK,OK/OK
,D4rtRunner.resetScriptDeclarations,a follower executeBundle after reset still works — the fresh-environment-per-call invariant is preserved,--/OK,--/OK,--/OK,--/OK,OK/OK
,D4rtRunner.resetScriptDeclarations,preserves stdlib names — print and Stopwatch survive reset,--/OK,--/OK,--/OK,--/OK,OK/OK
,D4rtRunner.resetScriptDeclarations,preserves bridge registrations — _bridgedClasses survive reset,--/OK,--/OK,--/OK,--/OK,OK/OK
,missing module,throws for URI not in bundle,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
